"merchant","correlation","rank","selected"
"merchant_Tony_Delfino_2633",0.134619683399726,334,FALSE
"merchant_All_in_brands_11116",0.133321864266918,335,FALSE
"merchant_Telas_Bayon_7779",0.133236616743339,336,FALSE
"merchant_Piyamas_Uniformes_M_edicos_9388",0.13291851369884,337,FALSE
"merchant_Prime_Store_10515",0.132327724564709,338,FALSE
"merchant_Curricanes_6057",0.131276519689112,339,FALSE
"merchant_Moller_Clothing_2951",0.131115609429646,340,FALSE
"merchant_PantalonesDeMezclilla_MX_PDMX_Jeans_10332",0.131030424638117,341,FALSE
"merchant_FK_Med_Style_9409",0.131012372611568,342,FALSE
"merchant_Farmacias_San_Jorge_10254",0.130750735180141,343,FALSE
"merchant_Kokoro_6790",0.130701419050021,344,FALSE
"merchant_MalvaLoca_10370",0.130323436201301,345,FALSE
"merchant_Dabalash_6750",0.12994422908136,346,FALSE
"merchant_Pima_Shop_8707",0.129892091357427,347,FALSE
"merchant_El_Duende_83",0.129507009120348,348,FALSE
"merchant_Mutt_8769",0.129345974996027,349,FALSE
"merchant_PIMENTA_SOCKS_29815",0.12817954415343,350,FALSE
"merchant_Skin_Hearten_4632",0.12817954415343,351,FALSE
"merchant_Andra_Jewelry_5658",0.12817954415343,352,FALSE
"merchant_Luxsonmx_4336",0.127983480022885,353,FALSE
"merchant_DuBellay_3787",0.127936652457382,354,FALSE
"merchant_GC_Moda_Artesanal_6432",0.127643943383135,355,FALSE
"merchant_Xicar_u_5996",0.127458701345907,356,FALSE
"merchant_Chiquimundo_7966",0.127304679732097,357,FALSE
"merchant_Cimarrone_25",0.127091791872358,358,FALSE
"merchant_Zapater_ia_GB_6743",0.125726817037266,359,FALSE
"merchant_Daniel_Bossa_7205",0.125357680918462,360,FALSE
"merchant_Bruna_Design_Store_10342",0.124892055832484,361,FALSE
"merchant_Calzado_Jacome_8943",0.124763674123033,362,FALSE
"merchant_Life_Et_Muerte_10593",0.124614707967828,363,FALSE
"merchant_Blush_Cosmetics_10735",0.124180894505992,364,FALSE
"merchant_Virtual_Llantas_4809",0.123853217190357,365,FALSE
"merchant_Catalina_Vargas_8087",0.123298744035044,366,FALSE
"merchant_Azulemex_10853",0.123072159695598,367,FALSE
"merchant_Fuse_Nutrici_on_Deportiva_4232",0.122905010471156,368,FALSE
"merchant_Roars_7659",0.122199551388461,369,FALSE
"merchant_BRICKTOPIA_11145",0.122055976605362,370,FALSE
"merchant_Blokke_6744",0.121840094143955,371,FALSE
